name,number,description,cloze,category,year,year_kind,pins,place_label,quotes
amaryllis,1,"The Victorians associated amaryllis with pride by virtue of its grand, tall stalks topped with bright blooms that towered over other flowers. Amaryllis, with its often leafless stems, is also known for withstanding drought. It is a strong and hearty plant, too prideful to perish under harsh conditions.","{meaning:""pride"";scientific_name:""hippeastrum""}",floriography,,,,,
anemone,2,The anemone's association with forsaken love can be traced back to Greek mythology. The flower is said to have sprung from Aphrodite's tears as she mourned the loss of her beloved Adonis. He was killed by the jealous gods over his relationship with the goddess of love,"{meaning:""forsaken love"";scientific_name:""anemone""}",floriography,,,,,
apple blossom,3,"The apple's connection to preference comes from the fable of the Golden Apple of Discord. Eris, the goddess of discord, threw a golden apple into a wedding ceremony that she was not invited to attend. The apple was inscribed with ‚ÄúFor the most beautiful,‚Äù and Hera, Athena, and Aphrodite all laid claim to it. Zeus tasked Paris of Troy with deciding between the three goddesses. He eventually chose Aphrodite after she promised him the love of the world's most beautiful woman, Helen of Sparta. Because Helen was already married to King Menelaus, Paris's preference ultimately caused the Trojan War.","{meaning:""preference"";scientific_name:""Malus""}",floriography,,,,,
asphodel,4,"In Greek mythology, asphodels grew in the underworld and were consumed by the dead. Homer's Odyssey shaped the idea of asphodel as a flower of regret, referring to the Asphodel Meadows as a section of the underworld where neither good nor evil souls resided‚Äîa type of ghostly purgatory.","{meaning:""My regrets follow you to the grave"";scientific_name:""Asphodelus""}",floriography,,,,,
aster,5,"The aster's association with daintiness most likely comes from its appearance. The many long and slender petals delicately surround a bright, yellow center: a tiny masterpiece in a field of blooms.","{meaning:""daintiness"";scientific_name:""Symphyotrichum""}",floriography,,,,,
azalea,6,"The azalea is notoriously fragile and difficult to grow. The beautiful, tender blossoms only last for a short time before tumbling to the ground. Along with this, its shallow roots do not tolerate overwatering, hence its association with temperance.","{meaning:""fragility"";scientific_name:""Rhododendron""}",floriography,,,,,
babys breath,7,"In the late nineteenth century, the Gysophila plant was dubbed ‚Äúbaby's breath,‚Äù due to its lovely scent and small, delicate blooms. Similar in appearance to the intricate lace of a bridal veil, this flower is frequently used in wedding bouquets as well as in arrangements for new mothers.","{meaning:""purity"";scientific_name:""Gypsophila""}",floriography,,,,,
basil,8,"Basil's association with hate comes from the Greeks, who believed the plant's unfolding leaves to resemble the basilisk's opening jaws. The Greeks also associated hatred with the basilisk's glare, because this legendary serpent could kill with just one glance.","{meaning:""hatred"";scientific_name:""Ocinum""}",floriography,,,,,
begonia,9,"To repay a favor, Charles Plumier, a seventeenth-century French botanist, named the begonia flower after Michel B√©gon, a French politician and plant collector. The flower's name, which contains the phrase ‚Äúbe gone,‚Äù may explain its use as a symbol of warning.","{meaning:""warning and to repay a favor"";scientific_name:""Begonia""}",floriography,,,,,
belladonna,10,"Belladonna, also called deadly nightshade, is one of the most toxic plants on earth. It was commonly used by the Romans as a poison, causing death and thus silencing the victim forever. Additionally, the genus Atropa is named for the Greek goddess Atropos, the oldest of the three Fates, who was known for cutting the thread of life, ending the lives of mortals.","{meaning:""silence"";scientific_name:""Atropa belladonna""}",,,,,,
Bluebell,,"The bluebellís appearance inspired its associations with humility and faithfulness. The tranquil, bell-shaped flowers bow down on the stem, shying away from the sunshine as though showing contritio","{meaning:""humility"";scientific_name:""Hyacinthoides""}",,,,,,
Buttercup,,"Buttercupís meaning may originate with a Victorian-era childhood game.†Children would hold a buttercup under their†chin and check to see if a yellow reflection appeared†on the skin.†If the radiant glow appeared, then the†bearer loved butter!","{meaning:""You are radiant with charm"";scientific_name:""Ranunculus""}",,,,,,
Camellia,,"The†camelliaís meaning originates with the 1848 Alexandre Dumas†novel,†La dame aux camÈlias, which tells the tragic love†story of Armand Duvalóa young bourgeoisóand Marguerite Gautier,†a courtesan.†The two fall in love, but their relationship†is undermined by Armandís father.†Fearing scandal, he convinces†Marguerite to leave Armand.†Armand mourns his beloved, but he†doesnít pursue her, believing she has left him for†another man.†Meanwhile, Marguerite falls ill with consumption.†She dies†alone, pining for Armand and what could have been","{meaning:""Longing for you"";scientific_name:""Dianthus caryophyllus""}",,,,,,Daffodil to show longing for an unrequited love; Zinnia as a gift for a friend who is moving away
Carnation,,"The meaning behind carnations can be traced back to the Crucifixion of Christ; carnations are said to have appeared where the Virgin Maryís tears fell, leading to their association with heartache and a motherís eternal love for her son. Additionally, the common name ìcarnationî may refer to Christ as the incarnation of God as man.","{meaning:""Motherís eternal love"";scientific_name:""Dianthus caryophyllus""}",,,,,,Mint or snowdrop to console the loss of a child; Heather for a child going off to college
Cattail,,"The cattailís association with peace and prosperity is largely unexplained, but it may derive from the plantís many domestic uses. Traditionally, the plant is used to weave baskets, to insulate clothing or bedding, as fuel for a hearth fire, and as food.","{meaning:""Peace and prosperity"";scientific_name:""Typha latifolia""}",,,,,,"Daffodil to show longing for an unrequited love, Zinnia as a gift for a friend who is moving away,associations:""Wheat for a promotion at work; Laurel for success in a new venture"
Chamomila,,"Chamomileís meaning may come from its many healing properties, which were first recognized in ancient Egypt. Brewed in tea, chamomile calms the nerves and promotes sleep, allowing the body and mind to rest and renew during times of stress. Chamomile is said to produce the healing energy and prolonged vigor needed to overcome adversity.","{meaning:""Energy in adversity"";scientific_name:""Matricaria""}",,,,,,Wheat for a promotion at work;Laurel for success in a new venture
Chrysanthemum,,"Autumn-blooming chrysanthemums are frequently used in funerals and placed on graves in many countries in Europe, including France, Belgium, Italy, and Spain. This ritual may derive from the practice of decorating graves on All Soulsí Day, a Christian holiday occurring in early November, when many blooms are difficult to find. The chrysanthemum is thought to be a token of comfort during a time of grieving.","{meaning:""Condolences"";scientific_name:""Chrysanthemum""}",,,,,,Willow for a friend in grief;Gladiolus for a broken heart
Clematis,,"Clematis, named for its†cunning ability to climb up walls and trellises, is easily†associated with cleverness and ingenuity.†This vining bloom never fails†to find its way up difficult terrain, often engulfing its†surroundings once it has taken hold","{meaning:""Ingenuity"";scientific_name:""Clematis""}",,,,,,Rosemary and clover as a good luck gift before an exam;Mistletoe to show your clever problem-solving will overcome challenge
Trifolium,,"Clovers, in particular four-leaf clovers, have been associated with luck for centuries. The ancient Druids in Ireland believed that carrying a clover allowed one to detect evil spirits approaching. Similarly, in the Middle Ages, many Irish believed that carrying a four-leaf clover allowed one to see fairies. In 1620, in the earliest recorded mention of cloverís association with luck, Sir John Melton wrote, ìIf any man walking in the fields, find any foure-leaved grasse, he shall in a small while after find some good thing.î","{meaning:""Good luck"";scientific_name:""Trifolium""}",,,,,,Heather and wheat for good luck with a new business venture;Apple blossom and dandelion to show hope that the recipientís wishes will come true
Columbine,,"Columbina†was the name of a recurring character in the†commedia†dellíarte†of early modern Italy.†A mistress of the†jester or ìfool,î Harlequin, Columbina was known for her loud†and gossipy nature.†The columbineís association with foolishness may†stem from Columbinaís love of the fool, or her†own readiness to make a fool of herself and others.†The unusually shaped bloom of the columbine also resembles a†court jesterís hat.","{meaning:""Foolishness"";scientific_name:""Aquilegia""}",,,,,,Asphodel to ask for forgiveness for an imprudent mistake;Protea to show youíre working to make a big change and correct past mistakes
Cornflower,,"Folklore surrounding the cornflower, also called a ìbachelorís button,î†states that a young man is to wear the flower†when he is in love.†If the flower dies quickly,†it means his adoration is unrequited.†However, if the flower†maintains its bloom, there is hope that the young manís love will be returned.","{meaning:""Hope in Love"";scientific_name:""Centaurea cyanus""}",,,,,,"Lilac as a gift for a first love,Sweet William to show you will always be true"
Cowslip,,"Cowslip gets its meaning from a story told about†Saint Peter, the gatekeeper of Heaven.†He accidentally dropped his†keys, and when they fell to Earth, they turned to†cowslip.†Cowslip is also known as the ìkey flower,î because†its flowers resemble a ring of golden keys.†The legend†suggests that those who find the flower can ìwin graceî†and enter into Heaven.","{meaning:""Winning Grace"";scientific_name:""Primula veris""}",,,,,,Hawthorn for hope in a new prospect;Honeysuckle as a gift when meeting your significant otherís parents
Crocus,,"Crocuses are some of the first flowers to bloom†in the frost and snow; their cheerful petals and sunshine†yellow filaments emerge to welcome spring.†Perennial flowers that†pop up†each year, crocuses are also associated with†youthful glee.","{meaning:""Condolences"";scientific_name:""Crocus""}",,,,,,Daisy for the start of a new school year;Buttercup as a gift for a charming young friend
Cypress,,"The cypress tree has been a symbol of mourning and death since classical antiquity, and it remains the tree most commonly planted in cemeteries in both Europe and the Middle East. In the Greek myth from which the tree gets its name, Cyparissus accidentally killed his beloved companion, a tame stag. He was so overcome by grief that he was transformed into a cypress tree.","{meaning:""Death"";scientific_name:""Cupressus""}",,,,,,"Marigold and ivy for a grieving friend;Orange blossom to indicate your eternal devotion to a recently deceased loved one"""
Daffodil,,"The Greek legend of†Narcissus, from which the scientific name of this plant derives,†tells†of a handsome and proud hunter who, upon seeing†his reflection in the waters of a spring, falls in†love with himself.†Unable to part from his own image,†he eventually perishes.†A daffodil then blooms to mark his grave.","{meaning:""Unrequited love"";scientific_name:""Narcissus""}",,,,,,Clover for hope for change;Sweet pea to indicate giving up on an ill-suited romance
Dahlia,,"The†dahlia flower is often called the ìQueen of the†Autumn Gardenî because it blooms for an extended period of†time, living well into the fall months.†Frequently used in†wedding bouquets during the Victorian era, the flower symbolized longevity and commitment.","{meaning:""Eternal love"";scientific_name:""Dahlia""}",,,,,,Tulip for a newly engaged couple;Myrtle to show love and devotion
